,date,anxiety,closing,entrepreneur,home,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better,worse,future,expectations,interest rate
81,2013-10-01,3,2,0,81,0,28,21,2,65,0,16,68,5,65,0,55,10,49,2,8
82,2013-11-01,3,2,0,80,0,23,19,2,65,0,15,67,3,78,0,62,8,45,5,7
83,2013-12-01,3,1,0,82,0,27,14,1,65,0,18,76,5,85,0,54,10,45,5,4
84,2014-01-01,4,3,0,88,0,55,22,1,68,0,17,69,5,70,0,62,12,56,3,6
85,2014-02-01,3,3,0,83,0,74,21,1,64,0,15,70,6,79,0,57,6,49,3,8
86,2014-03-01,4,2,0,89,0,56,20,2,69,0,14,75,6,83,0,58,8,53,3,9
87,2014-04-01,3,2,1,93,0,53,20,3,72,0,13,71,5,87,0,57,10,59,4,8
88,2014-05-01,3,2,0,96,0,27,16,1,68,0,11,77,6,100,0,55,7,70,3,9
89,2014-06-01,3,2,0,94,0,24,15,1,63,0,8,81,4,73,0,55,10,51,2,7
90,2014-07-01,3,2,0,92,0,26,16,1,63,0,7,85,5,68,0,52,9,40,2,12
91,2014-08-01,4,2,0,90,0,23,16,2,63,0,7,85,4,73,0,55,7,38,4,6
92,2014-09-01,3,2,0,85,0,25,18,2,65,0,7,73,5,70,0,52,9,47,3,8
93,2014-10-01,3,2,0,80,0,28,18,2,65,0,9,70,5,86,0,51,10,51,4,10
94,2014-11-01,4,2,0,82,0,24,18,2,65,0,11,67,6,88,0,55,5,40,2,10
95,2014-12-01,3,2,0,80,0,30,18,1,65,0,11,65,4,92,0,51,8,41,2,8
96,2015-01-01,4,2,0,82,0,56,18,1,67,0,13,75,4,84,0,53,11,49,3,8
97,2015-02-01,4,2,1,83,0,73,19,2,65,0,10,73,7,85,0,64,12,43,4,9
98,2015-03-01,4,2,0,92,0,54,19,2,69,0,9,77,5,85,0,62,8,44,5,9
99,2015-04-01,4,3,0,96,0,55,18,2,72,0,9,77,5,90,0,64,9,51,2,10
100,2015-05-01,4,2,0,100,0,26,14,2,64,0,7,77,5,97,0,54,8,58,3,7
101,2015-06-01,3,2,0,100,0,26,16,1,63,0,8,84,5,83,0,51,8,47,2,8
102,2015-07-01,3,1,0,95,0,27,17,1,64,0,6,86,4,75,0,60,10,49,3,5
103,2015-08-01,4,2,0,89,0,20,15,1,65,0,7,80,6,69,0,54,10,44,3,7
104,2015-09-01,4,2,1,87,0,26,15,2,64,0,7,77,7,84,0,54,10,55,5,11
105,2015-10-01,4,2,0,81,0,24,18,2,64,0,7,70,5,86,0,52,9,100,3,11
106,2015-11-01,4,2,0,86,0,25,18,2,71,0,10,71,6,95,0,56,10,51,4,10
107,2015-12-01,4,2,0,82,0,30,17,1,67,0,10,66,6,96,0,61,11,54,3,9
108,2016-01-01,4,3,0,89,0,55,18,1,66,0,12,72,3,85,0,63,9,45,3,8
109,2016-02-01,4,2,0,84,0,72,18,1,66,0,11,80,6,89,0,66,9,46,4,10
110,2016-03-01,5,3,0,89,0,51,19,2,68,0,8,75,5,94,0,60,9,47,3,9
111,2016-04-01,4,3,0,91,0,56,19,2,65,0,7,76,5,81,0,57,10,51,4,10
112,2016-05-01,4,2,0,94,0,25,16,1,65,0,6,78,6,100,0,54,11,47,3,6
113,2016-06-01,4,2,0,89,0,23,15,1,64,0,6,91,5,89,0,53,10,37,2,8
114,2016-07-01,4,3,0,91,0,21,16,1,63,0,4,93,4,82,0,50,12,49,3,9
115,2016-08-01,4,4,0,83,0,22,15,1,58,0,4,85,5,78,0,46,9,33,3,8
116,2016-09-01,4,3,0,84,0,22,15,2,63,0,4,74,5,73,0,56,10,48,2,9
117,2016-10-01,4,2,0,79,0,27,16,1,62,0,6,72,6,77,0,55,9,48,4,8
118,2016-11-01,4,2,0,83,0,27,15,1,65,0,8,71,7,85,0,53,11,45,4,9
119,2016-12-01,4,2,0,83,0,24,16,2,65,0,11,75,6,85,0,58,12,39,3,9
120,2017-01-01,4,3,0,87,0,51,20,1,67,0,12,75,6,80,0,65,13,42,3,5
121,2017-02-01,4,3,0,86,0,73,18,2,68,0,10,79,7,82,0,60,12,49,5,10
122,2017-03-01,5,3,0,88,0,58,18,2,69,0,7,81,7,81,0,63,11,52,5,15
123,2017-04-01,4,3,0,90,0,61,19,2,71,0,8,77,5,91,0,67,11,42,4,10
124,2017-05-01,5,3,0,92,0,29,14,1,67,0,5,84,5,93,0,57,11,37,2,10
125,2017-06-01,4,2,0,96,0,23,15,1,60,0,6,90,7,78,0,55,10,35,2,7
126,2017-07-01,4,3,0,98,0,22,15,1,61,0,5,100,5,74,0,53,12,30,3,7
127,2017-08-01,4,2,0,91,0,21,14,1,60,0,5,92,6,76,0,50,12,34,3,9
128,2017-09-01,4,3,0,89,0,23,16,1,61,0,5,79,5,69,0,50,10,40,2,7
129,2017-10-01,4,2,0,88,0,29,18,1,67,0,7,77,7,91,0,54,10,33,3,10
130,2017-11-01,5,2,0,96,0,37,18,2,69,0,8,76,5,83,0,58,13,44,3,9
131,2017-12-01,4,2,0,87,0,63,17,1,64,0,9,74,4,82,0,55,11,39,2,9
