,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better
35,2009-12-01,2,3,0,75,21,46,16,18,0,37,16,2,51,0,16,67,2,46,3,54
36,2010-01-01,2,3,0,83,27,53,21,20,0,77,18,1,52,0,17,68,4,37,3,54
37,2010-02-01,2,5,1,77,25,49,18,21,0,92,20,1,52,0,18,71,4,36,3,50
38,2010-03-01,3,3,1,77,19,44,21,18,0,72,23,2,56,0,18,72,4,34,3,51
39,2010-04-01,3,2,1,83,20,48,18,20,0,78,20,2,58,0,17,71,4,39,3,53
40,2010-05-01,2,2,0,83,17,45,17,23,0,33,18,1,55,0,14,75,3,44,4,53
41,2010-06-01,2,2,0,81,20,46,24,25,0,35,18,1,55,0,23,78,3,36,2,52
42,2010-07-01,2,2,0,80,22,44,20,19,0,35,20,1,54,0,28,78,4,37,3,50
43,2010-08-01,2,2,0,77,24,48,15,22,0,34,15,1,54,0,13,76,4,34,3,50
44,2010-09-01,2,2,1,73,20,40,19,16,0,32,17,1,55,0,11,70,4,37,3,46
45,2010-10-01,3,2,1,70,19,43,17,29,0,32,17,1,55,0,11,66,4,46,3,53
46,2010-11-01,2,2,0,74,21,41,17,32,0,31,20,2,58,0,14,66,4,49,2,56
47,2010-12-01,2,4,0,75,18,35,19,24,0,40,18,2,57,0,18,68,4,59,3,53
48,2011-01-01,2,3,0,81,20,46,14,52,0,70,19,1,58,0,16,68,3,45,3,55
49,2011-02-01,2,7,0,78,19,44,16,20,0,88,17,2,57,0,12,73,5,47,3,50
50,2011-03-01,3,3,0,78,18,40,17,29,0,65,18,2,59,0,11,72,4,46,3,50
51,2011-04-01,2,2,0,77,16,38,16,25,0,73,17,2,62,0,10,71,4,54,3,49
52,2011-05-01,2,2,0,81,17,34,15,36,0,30,16,1,57,0,10,71,4,55,3,51
53,2011-06-01,2,2,0,79,17,37,13,18,0,27,16,1,58,0,11,78,4,50,2,51
54,2011-07-01,2,3,0,82,18,41,12,20,0,28,19,1,58,0,10,78,4,46,3,54
55,2011-08-01,2,2,0,77,18,36,14,17,0,26,17,1,59,0,9,74,4,44,3,49
56,2011-09-01,3,2,1,75,19,35,13,21,0,27,17,2,59,0,9,70,4,47,3,50
57,2011-10-01,3,2,0,73,17,33,15,19,0,26,17,2,61,0,9,69,5,60,3,51
58,2011-11-01,3,2,0,76,16,36,16,29,0,26,17,2,64,0,10,64,5,64,2,53
59,2011-12-01,2,3,0,76,17,33,14,17,0,31,17,2,70,0,12,67,3,75,3,54
60,2012-01-01,3,3,0,78,18,42,15,19,0,66,20,2,67,0,12,68,4,59,3,55
61,2012-02-01,3,3,0,75,17,40,15,21,0,76,19,2,64,0,10,69,4,63,3,53
62,2012-03-01,3,2,0,77,16,34,14,20,0,52,18,2,64,0,9,71,4,66,3,51
63,2012-04-01,3,2,0,76,16,34,14,24,0,60,19,2,67,0,8,70,4,69,3,51
64,2012-05-01,2,2,0,79,15,33,13,21,0,24,16,1,61,0,8,77,5,70,2,49
65,2012-06-01,2,2,0,71,13,29,12,22,0,21,15,1,63,0,8,76,4,66,2,47
66,2012-07-01,2,2,0,78,16,29,12,20,0,26,15,1,65,0,10,74,4,64,3,48
67,2012-08-01,3,5,0,74,14,28,14,20,0,26,15,1,60,0,8,73,4,58,2,48
68,2012-09-01,3,2,0,71,16,29,12,18,0,25,16,1,62,0,8,66,5,60,3,48
69,2012-10-01,3,2,0,74,18,31,13,22,0,28,17,2,66,0,9,66,5,68,3,49
70,2012-11-01,3,3,0,75,14,29,14,28,0,26,17,2,66,0,10,65,5,68,3,49
71,2012-12-01,3,3,0,78,18,30,13,32,0,32,17,1,64,0,10,63,4,76,2,53
72,2013-01-01,3,5,0,79,15,27,14,24,0,63,20,1,64,0,12,68,5,64,3,50
73,2013-02-01,3,6,0,76,17,31,14,22,0,84,20,2,64,0,9,72,5,71,3,53
74,2013-03-01,3,3,0,80,17,33,14,27,0,59,20,2,69,0,7,75,5,71,2,54
75,2013-04-01,3,2,0,85,17,28,15,29,0,59,19,2,64,0,8,72,4,67,3,52
76,2013-05-01,3,2,0,91,19,26,13,24,0,28,18,1,62,0,7,76,5,75,3,48
77,2013-06-01,3,2,0,89,16,25,13,37,0,25,17,1,61,0,7,80,4,68,3,50
78,2013-07-01,3,2,0,88,15,46,12,21,0,22,17,1,62,0,8,77,4,60,3,49
79,2013-08-01,3,2,0,82,15,25,13,18,0,23,16,1,63,0,7,77,4,57,2,48
80,2013-09-01,3,2,0,81,19,25,13,25,0,25,17,1,64,0,6,72,6,58,3,52
81,2013-10-01,3,2,0,79,18,26,15,29,0,27,20,2,66,0,9,70,5,65,3,51
82,2013-11-01,3,2,0,83,19,25,13,29,0,24,20,2,68,0,8,72,4,77,3,57
83,2013-12-01,3,4,0,80,18,26,12,37,0,26,17,1,70,0,12,73,4,80,2,52
84,2014-01-01,3,13,0,81,17,23,14,36,0,53,21,1,68,0,15,77,5,68,3,52
85,2014-02-01,3,9,0,78,16,25,15,25,0,80,22,2,69,0,12,78,5,83,3,53
86,2014-03-01,3,4,0,81,16,24,16,22,0,53,23,2,70,0,11,80,5,94,3,54
87,2014-04-01,3,3,0,86,18,25,16,28,0,56,22,2,70,0,11,79,5,92,3,53
88,2014-05-01,3,2,0,91,15,24,13,29,0,26,19,1,66,0,9,81,5,91,3,51
89,2014-06-01,3,2,0,91,17,23,16,25,0,25,18,1,63,0,7,86,4,79,2,50
90,2014-07-01,3,2,0,92,17,23,14,24,0,25,18,1,63,0,8,88,4,69,3,50
91,2014-08-01,3,2,0,86,18,21,14,22,0,24,17,1,62,0,6,84,3,67,2,52
92,2014-09-01,3,2,0,83,18,21,13,25,0,24,18,2,65,0,6,75,5,70,2,49
93,2014-10-01,3,2,0,83,18,22,14,25,0,27,20,2,63,0,6,72,5,85,2,51
94,2014-11-01,3,4,0,87,16,21,16,24,0,26,20,2,63,0,7,75,5,87,2,53
95,2014-12-01,3,2,0,87,17,20,14,25,0,30,19,1,64,0,8,72,4,90,3,52
96,2015-01-01,4,9,0,86,19,23,15,22,0,62,22,1,67,0,9,80,5,79,2,55
97,2015-02-01,3,13,0,81,18,23,16,22,0,83,21,2,63,0,7,82,6,81,2,68
98,2015-03-01,4,3,0,87,17,23,16,21,0,59,22,2,69,0,6,86,6,81,3,62
99,2015-04-01,4,3,0,93,16,24,16,19,0,59,20,2,69,0,6,83,5,85,2,58
100,2015-05-01,3,3,0,97,17,20,14,19,0,29,18,1,64,0,6,86,5,96,2,53
101,2015-06-01,3,2,0,97,17,27,15,18,0,27,19,1,62,0,6,91,4,86,2,48
102,2015-07-01,4,2,0,96,16,28,15,22,0,28,17,1,62,0,6,95,5,77,2,52
103,2015-08-01,4,2,0,92,18,24,12,24,0,27,16,1,63,0,5,91,4,71,3,49
104,2015-09-01,4,2,0,85,16,20,15,21,0,26,17,1,63,0,5,82,5,82,2,50
105,2015-10-01,4,2,0,83,15,20,13,26,0,27,19,2,64,0,5,79,5,93,2,48
106,2015-11-01,4,3,0,87,16,22,15,23,0,25,20,2,67,0,6,79,5,98,2,51
107,2015-12-01,4,2,0,86,15,19,11,20,0,29,18,2,66,0,7,78,4,97,2,52
108,2016-01-01,4,7,0,87,15,25,13,27,0,59,20,1,65,0,8,83,6,89,3,53
109,2016-02-01,4,11,0,82,14,25,14,25,0,82,20,2,68,0,6,89,6,92,2,60
110,2016-03-01,4,8,0,86,14,25,15,24,0,53,19,2,68,0,5,86,6,94,2,58
111,2016-04-01,4,3,0,92,13,25,14,24,0,55,20,2,65,0,5,86,6,84,3,58
112,2016-05-01,4,3,0,97,14,24,12,26,0,26,18,1,65,0,5,89,5,100,2,53
113,2016-06-01,4,3,0,91,12,22,12,25,0,24,17,1,62,0,5,94,4,91,2,49
114,2016-07-01,4,2,0,91,12,24,11,24,0,23,16,1,60,0,5,93,4,80,2,50
115,2016-08-01,4,4,0,87,14,23,11,24,0,25,17,1,58,0,4,88,4,77,2,48
116,2016-09-01,4,3,0,87,14,24,12,27,0,23,16,1,62,0,4,84,5,81,2,52
117,2016-10-01,4,3,0,84,12,21,14,27,0,26,18,2,60,0,4,79,5,86,2,50
118,2016-11-01,4,3,0,87,12,21,12,26,0,26,18,2,63,0,5,76,5,85,2,53
119,2016-12-01,4,8,0,89,13,18,11,21,0,26,17,2,67,0,6,83,5,93,2,53
120,2017-01-01,5,17,0,89,15,21,13,29,0,58,22,1,69,0,7,84,6,85,2,56
121,2017-02-01,4,5,0,84,13,25,14,27,0,82,21,2,68,0,6,86,7,89,3,56
122,2017-03-01,5,6,0,89,15,24,14,30,0,57,21,2,67,0,4,89,6,79,3,55
123,2017-04-01,4,4,0,96,13,24,14,32,0,59,19,2,73,0,5,85,5,85,2,57
124,2017-05-01,4,4,0,98,13,26,13,38,0,26,18,1,65,0,4,91,5,95,3,54
125,2017-06-01,4,3,0,95,13,23,12,27,0,23,18,1,63,0,4,98,5,86,2,53
126,2017-07-01,4,4,0,100,13,23,12,25,0,25,18,1,64,0,5,100,5,75,3,49
127,2017-08-01,4,3,0,91,13,21,12,25,0,24,17,1,64,0,4,94,5,73,2,49
128,2017-09-01,4,4,0,91,12,20,12,26,0,26,18,1,63,0,4,86,5,74,2,50
129,2017-10-01,5,3,0,87,12,20,14,30,0,27,20,2,66,0,4,82,6,95,3,50
130,2017-11-01,5,3,0,99,12,19,13,34,0,35,20,2,68,0,4,80,5,87,2,52
131,2017-12-01,4,19,0,98,12,18,11,28,0,59,19,1,74,0,5,82,5,88,2,54
