,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,worse,future,expectations,interest rate
40,2010-05-01,2,2,0,91,26,66,40,30,0,32,16,1,59,0,30,77,5,38,4,5
41,2010-06-01,2,2,0,86,36,84,40,34,0,32,16,1,55,0,37,81,5,34,3,6
42,2010-07-01,3,2,0,86,37,78,50,30,0,33,15,1,52,0,42,82,4,33,2,5
43,2010-08-01,2,2,0,89,43,76,45,30,0,31,15,1,56,0,30,78,3,28,4,6
44,2010-09-01,3,2,1,80,33,76,38,31,0,31,14,2,55,0,24,73,3,36,5,6
45,2010-10-01,3,2,0,79,35,64,40,51,0,32,16,1,59,0,25,68,5,39,4,6
46,2010-11-01,2,2,1,83,31,63,39,67,0,32,17,1,60,0,26,67,5,38,4,6
47,2010-12-01,3,3,0,82,33,59,42,36,0,42,16,1,60,0,31,71,5,38,5,5
48,2011-01-01,3,3,0,87,35,60,43,55,0,70,18,1,58,0,36,71,5,33,4,5
49,2011-02-01,3,6,0,80,33,61,47,31,1,84,19,1,60,0,28,71,5,35,4,5
50,2011-03-01,2,3,0,83,30,63,45,48,1,63,17,1,60,0,23,72,5,38,3,5
51,2011-04-01,3,3,0,83,30,62,43,33,0,66,16,1,64,0,24,75,6,38,4,5
52,2011-05-01,3,2,0,86,33,56,35,48,0,28,16,1,61,0,23,74,5,38,4,5
53,2011-06-01,2,2,0,86,37,57,38,29,0,29,16,1,61,0,23,83,5,33,4,4
54,2011-07-01,2,3,0,87,28,57,34,26,0,28,18,1,60,0,26,81,6,28,2,4
55,2011-08-01,3,2,0,86,32,61,33,31,0,27,17,1,61,0,25,79,6,29,3,5
56,2011-09-01,3,2,0,84,32,62,36,32,0,28,17,2,60,0,22,71,5,38,3,5
57,2011-10-01,3,2,0,79,33,49,45,29,0,27,16,2,63,0,26,70,5,35,4,6
58,2011-11-01,3,2,0,82,28,56,34,38,0,27,17,1,66,0,23,66,6,37,3,5
59,2011-12-01,3,3,0,81,34,50,35,32,0,34,16,1,70,0,26,66,6,35,3,4
60,2012-01-01,3,3,0,85,31,61,38,33,0,69,18,1,66,0,33,69,4,37,3,5
61,2012-02-01,3,3,0,81,34,53,35,32,0,74,17,1,69,0,25,75,5,43,4,6
62,2012-03-01,3,2,0,84,32,52,34,35,0,52,17,1,68,0,25,74,5,44,4,6
63,2012-04-01,3,2,0,83,35,54,36,43,0,57,18,1,69,0,23,73,7,50,6,6
64,2012-05-01,3,2,0,85,29,50,30,37,0,26,16,1,67,0,20,79,6,51,4,5
65,2012-06-01,3,2,0,86,33,52,27,33,0,25,15,1,67,0,19,83,6,46,3,5
66,2012-07-01,3,2,0,86,31,49,28,34,0,25,13,1,66,0,22,87,6,44,2,5
67,2012-08-01,3,6,0,82,32,46,29,40,0,26,14,1,64,0,19,77,6,42,3,5
68,2012-09-01,3,2,0,82,29,44,32,36,0,25,15,1,64,0,19,72,6,46,3,5
69,2012-10-01,3,2,0,79,27,45,31,33,0,27,15,1,66,0,19,66,6,39,3,5
70,2012-11-01,3,3,0,84,30,45,34,36,0,30,16,2,69,0,19,64,6,40,3,6
71,2012-12-01,3,4,0,85,28,38,29,49,0,31,15,1,64,0,22,63,7,38,3,5
72,2013-01-01,3,4,0,90,37,47,32,56,0,66,18,1,68,0,25,70,6,42,3,5
73,2013-02-01,3,5,1,84,31,43,31,33,0,78,17,1,66,0,18,72,6,44,3,5
74,2013-03-01,3,3,0,84,31,41,34,35,0,55,16,1,69,0,17,78,7,43,3,5
75,2013-04-01,3,3,0,89,29,36,32,43,0,52,16,1,65,0,17,73,6,44,3,6
76,2013-05-01,3,2,0,95,27,38,27,34,0,26,15,1,65,0,15,74,7,43,4,6
77,2013-06-01,3,2,0,97,32,33,29,50,0,24,14,1,64,0,16,81,6,36,2,5
78,2013-07-01,3,2,0,95,34,49,30,37,0,26,14,1,64,0,17,83,6,38,3,5
79,2013-08-01,3,2,0,88,32,38,31,34,0,25,15,1,65,0,14,78,6,34,3,5
80,2013-09-01,3,2,0,86,28,35,25,42,0,22,14,1,65,0,14,71,7,38,3,5
81,2013-10-01,3,2,0,82,36,36,33,47,0,26,17,2,65,0,15,68,7,44,4,6
82,2013-11-01,3,2,0,85,29,31,33,36,0,23,17,1,68,0,14,69,7,42,3,5
83,2013-12-01,3,3,0,84,31,31,30,51,0,31,15,1,71,0,20,77,6,42,4,5
84,2014-01-01,3,10,0,91,32,33,38,46,0,55,18,1,71,0,23,78,6,44,3,5
85,2014-02-01,3,5,0,87,37,34,35,36,0,82,18,1,70,0,18,77,7,43,3,7
86,2014-03-01,4,3,0,88,31,34,35,39,0,54,19,1,70,0,17,79,6,44,4,6
87,2014-04-01,3,3,0,92,28,36,33,41,0,50,18,2,71,0,17,78,7,47,4,6
88,2014-05-01,3,2,0,96,31,30,32,41,0,25,16,1,67,0,13,80,8,63,4,5
89,2014-06-01,3,2,0,96,29,32,30,34,0,24,14,1,64,0,11,85,7,48,3,5
90,2014-07-01,3,3,0,97,30,34,30,38,0,25,15,1,65,0,10,90,7,36,2,5
91,2014-08-01,3,2,0,92,30,33,27,36,0,23,14,1,64,0,9,85,6,36,2,4
92,2014-09-01,3,3,0,88,27,30,31,33,0,24,15,1,65,0,8,74,8,40,3,6
93,2014-10-01,4,2,0,83,28,33,30,45,0,26,16,1,65,0,8,71,6,44,4,6
94,2014-11-01,3,3,0,88,31,30,32,42,0,23,17,2,67,0,10,74,7,40,3,6
95,2014-12-01,3,3,0,87,28,30,32,38,0,31,16,1,66,0,12,70,7,38,4,5
96,2015-01-01,4,8,0,92,30,34,31,39,0,57,19,1,68,0,15,77,8,43,4,5
97,2015-02-01,4,5,0,86,32,36,33,32,0,74,18,1,68,0,12,82,6,38,4,7
98,2015-03-01,4,3,0,91,30,35,29,34,0,53,18,2,69,0,11,82,8,39,4,7
99,2015-04-01,4,3,0,98,29,37,31,33,0,51,17,2,73,0,9,81,7,48,4,7
100,2015-05-01,4,3,0,98,24,29,28,35,0,26,16,1,66,0,8,83,7,52,4,6
101,2015-06-01,4,3,0,95,30,35,29,31,0,26,15,1,65,0,9,86,7,41,3,5
102,2015-07-01,4,3,0,98,28,40,30,33,0,28,15,1,65,0,9,91,7,44,2,5
103,2015-08-01,4,3,0,95,32,36,29,34,0,26,14,1,64,0,8,87,8,45,3,5
104,2015-09-01,4,3,0,88,32,30,29,34,0,26,16,1,65,0,8,78,7,57,4,6
105,2015-10-01,5,3,0,87,27,30,30,35,0,26,17,2,67,0,8,74,7,100,3,7
106,2015-11-01,4,3,0,91,32,27,31,34,0,25,17,1,68,0,10,71,8,46,4,6
107,2015-12-01,4,2,0,91,31,29,27,37,0,31,16,1,70,0,11,71,7,47,3,7
108,2016-01-01,4,5,0,92,24,36,28,47,0,53,17,1,69,0,14,82,7,48,3,5
109,2016-02-01,5,5,0,87,24,37,30,36,0,73,17,1,70,0,13,86,9,55,3,7
110,2016-03-01,5,4,0,89,24,38,30,38,0,50,16,1,72,0,10,83,8,49,3,7
111,2016-04-01,5,3,0,95,26,39,31,38,0,52,16,2,69,0,9,80,8,48,5,7
112,2016-05-01,5,3,0,95,20,34,27,41,0,25,15,2,69,0,9,88,8,47,5,6
113,2016-06-01,4,3,0,94,24,35,28,36,0,23,14,1,64,0,9,91,8,41,2,5
114,2016-07-01,4,3,0,93,22,34,27,36,0,22,13,1,62,0,8,92,8,40,2,5
115,2016-08-01,4,4,0,89,24,38,26,35,0,24,14,1,64,0,8,84,6,37,2,4
116,2016-09-01,5,3,0,87,25,34,25,35,0,22,14,1,65,0,7,79,8,39,4,7
117,2016-10-01,5,3,0,86,24,31,27,40,0,25,15,1,66,0,7,75,7,39,4,7
118,2016-11-01,4,3,0,87,23,31,25,36,0,25,16,1,69,0,9,75,8,43,3,7
119,2016-12-01,4,5,0,88,22,25,23,33,0,28,15,1,71,0,11,81,8,37,3,6
120,2017-01-01,5,10,0,90,22,35,29,41,0,52,19,1,72,0,14,79,8,39,3,6
121,2017-02-01,5,5,0,87,23,33,29,37,0,75,18,1,74,0,12,87,9,48,4,8
122,2017-03-01,5,6,0,90,24,38,31,47,0,54,17,1,72,0,10,87,9,50,4,8
123,2017-04-01,5,4,0,94,25,41,28,46,0,54,17,1,74,0,8,84,8,46,4,8
124,2017-05-01,5,5,0,97,23,40,28,57,0,26,16,1,69,0,7,90,8,43,5,7
125,2017-06-01,4,4,0,96,23,35,25,40,0,24,14,1,66,0,8,96,8,37,3,6
126,2017-07-01,4,4,0,100,20,30,23,33,0,26,14,1,66,0,8,100,8,39,2,5
127,2017-08-01,5,4,0,95,21,34,21,39,0,25,14,1,66,0,7,94,9,31,3,4
128,2017-09-01,5,3,0,90,22,33,25,41,0,25,15,1,65,0,6,82,9,32,3,5
129,2017-10-01,5,3,0,88,20,31,25,48,0,27,16,1,70,0,7,79,8,37,4,7
130,2017-11-01,5,3,0,96,23,28,29,54,0,33,17,1,72,0,8,80,9,37,4,7
131,2017-12-01,5,3,0,95,22,25,24,48,0,59,16,1,74,0,10,84,9,35,3,6
