,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,worse,future,expectations,interest rate
76,2013-05-01,3,2,0,91,38,45,27,35,6,40,3,5
77,2013-06-01,3,2,0,95,29,42,24,58,6,32,2,5
78,2013-07-01,3,2,0,96,34,49,27,37,7,36,3,6
79,2013-08-01,3,2,0,85,40,43,25,33,7,38,4,6
80,2013-09-01,3,2,0,88,44,37,24,32,7,35,3,6
81,2013-10-01,3,2,0,81,38,36,26,43,7,43,3,6
82,2013-11-01,3,2,0,87,36,34,26,34,7,41,4,5
83,2013-12-01,3,2,0,82,29,30,25,51,7,38,3,5
84,2014-01-01,3,3,0,83,34,37,30,40,7,41,3,6
85,2014-02-01,3,4,0,83,35,35,30,37,7,43,4,7
86,2014-03-01,3,3,0,85,33,38,29,35,6,42,3,5
87,2014-04-01,3,3,0,87,33,40,25,36,7,44,4,6
88,2014-05-01,3,2,0,90,40,36,25,38,7,64,3,5
89,2014-06-01,3,2,0,91,35,37,30,38,7,50,2,4
90,2014-07-01,3,2,0,90,37,36,25,37,6,40,3,5
91,2014-08-01,3,2,0,84,33,33,25,34,7,38,3,4
92,2014-09-01,3,2,0,82,51,37,25,31,7,41,3,5
93,2014-10-01,3,2,0,80,29,36,25,36,7,44,4,6
94,2014-11-01,3,2,0,86,34,32,22,35,7,42,3,5
95,2014-12-01,3,2,0,82,32,28,22,36,8,39,3,5
96,2015-01-01,3,3,0,86,33,33,28,44,7,47,3,6
97,2015-02-01,3,4,0,83,35,38,26,33,7,42,3,7
98,2015-03-01,4,3,0,87,39,36,27,35,7,40,4,8
99,2015-04-01,3,4,0,91,40,33,29,31,8,48,3,8
100,2015-05-01,3,3,0,95,49,35,25,31,7,52,4,7
101,2015-06-01,4,3,0,97,40,37,27,35,7,45,3,6
102,2015-07-01,4,2,0,96,43,41,27,29,7,48,2,7
103,2015-08-01,3,2,0,91,43,36,27,33,7,46,4,7
104,2015-09-01,4,3,0,85,54,34,25,30,7,62,3,8
105,2015-10-01,4,2,0,82,41,32,27,36,7,100,4,7
106,2015-11-01,4,4,0,87,39,32,27,35,7,46,4,6
107,2015-12-01,4,2,0,85,35,31,24,31,7,49,3,9
108,2016-01-01,4,3,0,85,34,39,25,44,8,48,3,6
109,2016-02-01,4,4,0,82,33,42,28,34,8,51,3,8
110,2016-03-01,4,5,0,84,31,45,27,38,8,51,3,7
111,2016-04-01,4,5,0,90,36,48,30,32,8,49,3,9
112,2016-05-01,4,4,0,94,39,38,29,33,8,46,3,7
113,2016-06-01,4,3,0,96,33,39,26,35,8,38,3,6
114,2016-07-01,4,2,0,93,31,35,24,34,7,39,3,6
115,2016-08-01,4,4,0,85,33,32,24,37,8,34,3,6
116,2016-09-01,4,3,0,84,49,37,25,39,8,40,3,7
117,2016-10-01,4,3,0,81,31,30,25,40,8,42,3,6
118,2016-11-01,4,3,0,85,29,31,24,40,8,44,3,7
119,2016-12-01,4,3,0,86,27,28,23,35,8,37,3,8
120,2017-01-01,4,5,0,87,33,37,28,52,9,39,4,6
121,2017-02-01,4,4,0,85,33,33,31,40,8,46,4,8
122,2017-03-01,4,4,0,88,33,44,30,43,8,45,3,9
123,2017-04-01,5,5,0,93,37,38,29,48,8,43,3,8
124,2017-05-01,4,3,0,95,36,40,26,60,8,40,3,7
125,2017-06-01,4,3,0,100,31,39,23,37,7,32,3,6
126,2017-07-01,4,3,0,97,34,34,24,42,8,32,2,6
127,2017-08-01,4,3,0,89,31,35,24,38,9,35,3,6
128,2017-09-01,4,3,0,86,50,34,25,45,8,35,3,6
129,2017-10-01,5,3,0,84,30,31,27,49,9,35,3,6
130,2017-11-01,4,3,0,94,30,29,24,53,8,36,4,7
131,2017-12-01,4,3,0,90,28,29,20,45,8,36,3,7
