,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,good,pink slip,unemployment,car,expect,happy,start business,better
73,2013-02-01,3,2,0,84,28,37,41,41,0,89,17,1,64,0,9,67,6,64,3,49
74,2013-03-01,2,2,0,80,29,33,39,36,0,58,17,1,66,0,8,72,6,66,3,48
75,2013-04-01,3,2,0,83,29,32,39,45,0,59,16,1,60,0,8,70,5,60,3,46
76,2013-05-01,3,2,0,88,27,29,33,41,0,32,15,1,59,0,8,75,5,73,3,45
77,2013-06-01,2,2,0,88,29,30,31,62,0,29,15,1,60,0,9,77,4,63,3,47
78,2013-07-01,3,2,0,88,28,27,36,43,0,34,16,1,63,0,9,75,5,58,3,50
79,2013-08-01,3,2,0,81,30,28,37,40,0,35,16,1,63,0,8,75,4,55,3,48
80,2013-09-01,3,2,0,80,28,27,36,42,0,29,17,1,65,0,8,70,5,58,3,48
81,2013-10-01,3,2,0,79,28,29,38,56,0,32,19,1,63,0,9,71,5,59,3,47
82,2013-11-01,3,2,0,80,31,24,34,48,0,31,18,2,67,0,8,67,5,72,3,51
83,2013-12-01,3,2,0,81,31,26,32,56,0,33,15,1,68,0,9,70,4,80,3,50
84,2014-01-01,3,6,0,89,26,28,35,61,0,59,20,1,69,0,13,69,5,66,3,48
85,2014-02-01,3,6,0,83,24,27,38,42,0,91,18,1,66,0,10,76,6,73,3,52
86,2014-03-01,3,2,0,87,27,29,38,40,0,55,18,1,66,0,9,76,5,83,3,48
87,2014-04-01,3,2,0,84,25,31,34,48,0,53,18,2,66,0,10,75,5,84,3,48
88,2014-05-01,3,2,0,87,22,32,38,43,0,30,16,1,63,0,8,79,5,97,3,46
89,2014-06-01,3,2,0,89,23,30,34,42,0,28,15,1,61,0,7,85,4,73,3,47
90,2014-07-01,3,2,0,86,25,24,33,42,0,34,16,1,61,0,7,87,4,71,3,50
91,2014-08-01,3,2,0,83,29,27,34,36,0,30,16,1,61,0,6,81,4,69,3,49
92,2014-09-01,3,2,0,78,27,22,30,40,0,28,15,1,65,0,6,74,5,68,3,45
93,2014-10-01,3,2,0,75,31,29,37,38,0,30,16,1,65,0,6,73,5,76,3,45
94,2014-11-01,3,2,0,81,24,26,29,37,0,31,16,1,61,0,6,72,4,85,2,49
95,2014-12-01,2,2,0,84,25,22,27,33,0,32,15,1,60,0,6,73,4,83,2,46
96,2015-01-01,3,3,0,87,23,27,36,35,0,65,19,1,63,0,6,74,5,78,3,47
97,2015-02-01,3,5,0,83,25,22,38,49,0,77,18,1,62,0,6,79,5,76,3,58
98,2015-03-01,3,2,0,86,24,29,34,35,0,53,17,1,65,0,6,82,5,74,2,50
99,2015-04-01,3,2,0,89,23,26,35,30,0,52,17,2,64,0,6,82,5,76,3,51
100,2015-05-01,3,2,0,89,24,29,32,34,0,29,16,1,60,0,5,85,4,94,3,47
101,2015-06-01,3,2,0,94,21,32,32,32,0,28,16,1,62,0,6,91,4,78,3,49
102,2015-07-01,3,2,0,94,19,37,27,37,0,28,14,1,61,0,8,95,4,71,3,49
103,2015-08-01,3,2,0,89,21,33,26,33,0,30,14,1,62,0,7,90,5,70,2,46
104,2015-09-01,4,2,0,85,21,28,26,38,0,25,15,1,62,0,6,82,5,81,3,45
105,2015-10-01,3,4,0,80,23,27,28,43,0,29,17,1,59,0,6,77,5,83,2,44
106,2015-11-01,3,2,0,85,24,22,33,40,0,29,19,2,61,0,6,74,5,100,3,48
107,2015-12-01,3,2,0,88,24,21,32,38,0,34,16,1,62,0,6,76,5,97,3,45
108,2016-01-01,3,5,0,90,17,25,33,42,0,61,17,1,61,0,6,78,6,84,3,47
109,2016-02-01,3,3,0,86,22,29,34,36,0,88,16,1,63,0,5,87,6,90,3,54
110,2016-03-01,3,3,0,89,18,27,31,41,0,57,16,1,66,0,4,86,6,89,3,51
111,2016-04-01,4,3,0,92,22,30,34,39,0,54,16,2,61,0,4,88,6,79,3,50
112,2016-05-01,3,3,0,92,20,26,29,46,0,30,15,1,61,0,4,88,5,96,3,47
113,2016-06-01,3,3,0,93,19,31,36,40,0,28,15,1,62,0,5,90,5,83,3,46
114,2016-07-01,4,2,0,94,19,28,30,67,0,31,15,1,60,0,5,93,4,76,3,46
115,2016-08-01,3,3,0,88,19,26,30,40,0,35,15,1,57,0,4,87,4,72,3,46
116,2016-09-01,4,3,0,82,20,26,30,43,0,27,15,1,59,0,4,83,5,75,3,47
117,2016-10-01,3,4,0,83,19,23,31,39,0,29,16,1,59,0,5,79,6,74,3,44
118,2016-11-01,3,2,0,85,18,24,28,41,0,31,15,2,62,0,5,77,6,84,3,48
119,2016-12-01,3,2,0,89,18,20,28,36,0,31,15,1,66,0,5,81,5,89,2,46
120,2017-01-01,4,4,0,92,18,24,29,53,0,59,18,1,67,0,5,81,6,81,3,50
121,2017-02-01,4,3,0,89,19,25,33,46,0,97,17,1,68,0,4,87,6,84,3,49
122,2017-03-01,4,3,0,90,17,30,31,51,0,56,17,2,66,0,4,91,6,72,3,47
123,2017-04-01,4,3,0,93,17,29,33,60,0,56,17,2,69,0,4,92,5,75,3,49
124,2017-05-01,4,3,0,94,17,28,26,71,0,32,16,1,63,0,4,94,6,89,3,48
125,2017-06-01,4,3,0,99,17,28,30,46,0,29,17,1,62,0,5,98,5,81,3,48
126,2017-07-01,3,3,0,100,18,23,27,46,0,34,16,1,63,0,5,100,5,75,3,46
127,2017-08-01,4,3,0,93,19,23,33,48,0,35,16,1,61,0,5,90,5,68,3,45
128,2017-09-01,3,4,0,91,19,25,29,44,0,27,16,1,60,0,4,83,6,69,3,44
129,2017-10-01,4,2,0,89,16,25,28,58,0,32,18,1,65,0,6,86,6,87,3,44
130,2017-11-01,4,2,0,94,19,23,29,62,0,36,17,2,64,0,5,83,5,85,3,47
131,2017-12-01,3,2,0,97,18,23,27,51,0,54,16,1,68,0,5,83,5,80,3,46
