,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,expect,happy,start business,better,worse,future,expectations,interest rate
57,2011-10-01,2,2,0,70,18,48,21,26,0,35,15,1,5,51,3,48,4,43,3,4
58,2011-11-01,2,2,0,72,18,44,20,43,0,32,14,1,4,56,4,50,6,42,3,4
59,2011-12-01,2,2,0,73,18,40,19,28,0,35,13,1,4,65,3,52,7,42,2,3
60,2012-01-01,2,3,0,77,18,50,20,30,0,69,16,1,5,52,5,53,6,54,3,4
61,2012-02-01,2,2,0,73,20,48,23,30,0,72,15,1,5,55,4,51,5,54,3,4
62,2012-03-01,2,2,0,74,18,42,19,29,0,51,15,1,4,50,3,48,5,59,3,4
63,2012-04-01,2,2,0,76,17,41,22,40,0,58,15,1,5,54,4,47,5,87,3,4
64,2012-05-01,2,2,0,79,18,44,21,35,0,32,14,1,6,64,4,48,5,74,2,4
65,2012-06-01,2,2,0,76,19,44,20,38,0,32,15,1,5,55,4,49,5,60,2,4
66,2012-07-01,2,2,0,77,23,42,20,30,0,37,14,1,5,55,4,51,7,57,2,4
67,2012-08-01,2,5,0,74,20,43,23,34,0,41,14,1,4,53,4,49,6,58,2,3
68,2012-09-01,3,2,0,70,19,39,21,28,0,31,14,1,6,55,4,49,6,55,3,4
69,2012-10-01,2,2,0,71,20,42,19,32,0,37,15,1,5,57,4,48,6,50,3,5
70,2012-11-01,2,2,0,74,19,41,21,60,0,34,15,1,4,61,3,49,6,52,2,4
71,2012-12-01,2,2,0,75,17,32,17,38,0,33,13,1,4,67,3,49,6,54,2,4
72,2013-01-01,2,3,0,82,17,42,20,36,0,67,16,1,6,58,4,49,5,59,2,3
73,2013-02-01,2,2,0,76,20,35,20,31,0,79,15,1,5,63,3,49,5,61,2,4
74,2013-03-01,3,2,0,78,20,35,21,31,0,55,15,1,5,60,4,48,5,57,2,4
75,2013-04-01,2,2,0,80,18,32,21,37,0,56,15,1,5,55,3,47,5,55,2,5
76,2013-05-01,2,2,0,86,20,33,20,31,0,35,15,1,5,71,3,48,5,57,2,4
77,2013-06-01,2,2,0,85,19,30,20,55,0,31,15,1,5,58,4,50,5,46,2,4
78,2013-07-01,2,2,0,85,18,37,20,32,0,35,15,1,5,56,4,49,5,46,2,4
79,2013-08-01,2,2,0,80,22,31,20,28,0,38,14,1,5,54,4,48,5,49,3,4
80,2013-09-01,3,2,0,78,18,29,19,31,0,29,15,1,5,55,3,49,6,55,2,4
81,2013-10-01,2,2,1,75,19,31,20,42,0,32,16,1,5,59,3,47,6,65,2,4
82,2013-11-01,2,2,0,78,19,27,20,33,0,30,16,1,5,75,3,50,6,58,2,4
83,2013-12-01,2,2,0,79,20,26,18,39,0,33,15,1,4,79,3,49,5,53,2,4
84,2014-01-01,2,7,0,84,21,30,24,43,0,57,19,1,5,71,4,51,6,46,2,4
85,2014-02-01,2,5,0,81,20,28,24,29,0,79,17,1,6,76,4,50,5,45,3,5
86,2014-03-01,2,2,0,81,21,30,23,29,0,54,18,1,5,82,3,49,6,48,3,5
87,2014-04-01,2,2,0,83,21,29,23,37,0,56,17,2,5,87,4,49,6,61,3,5
88,2014-05-01,3,2,0,85,19,29,22,32,0,33,16,1,5,95,4,50,6,72,2,4
89,2014-06-01,3,2,0,86,18,30,24,31,0,31,16,1,5,75,3,49,6,53,2,4
90,2014-07-01,3,2,0,88,18,31,23,32,0,37,16,1,5,69,3,51,6,42,2,4
91,2014-08-01,3,2,0,82,19,28,21,28,0,34,15,1,5,67,3,49,5,43,2,3
92,2014-09-01,3,2,0,80,19,28,20,30,0,31,15,1,6,68,4,47,5,40,2,4
93,2014-10-01,3,2,0,78,19,30,20,26,0,33,15,1,5,74,3,47,6,43,3,4
94,2014-11-01,3,2,0,83,20,26,19,31,0,30,16,1,5,86,3,48,5,42,2,4
95,2014-12-01,2,2,0,83,19,25,21,33,0,35,16,1,4,86,3,46,6,41,2,4
96,2015-01-01,3,3,0,86,22,29,22,29,0,67,18,1,6,80,4,50,5,46,2,4
97,2015-02-01,3,7,0,83,19,26,20,26,0,79,16,1,6,79,3,58,5,41,3,4
98,2015-03-01,3,3,0,88,20,30,22,28,0,53,16,1,6,74,3,56,6,44,2,5
99,2015-04-01,3,2,0,92,20,27,21,25,0,56,16,2,5,80,3,55,6,52,2,5
100,2015-05-01,3,2,0,92,18,27,20,28,0,33,15,1,5,97,3,50,6,51,2,4
101,2015-06-01,3,2,0,94,20,31,22,25,0,34,15,1,5,81,3,52,6,47,2,4
102,2015-07-01,3,2,0,92,20,39,21,29,0,39,15,1,5,75,3,52,6,76,2,5
103,2015-08-01,3,2,1,89,21,33,21,26,0,36,15,1,6,74,3,48,6,67,2,4
104,2015-09-01,3,2,1,83,19,31,22,29,0,31,16,1,5,83,4,49,6,86,3,5
105,2015-10-01,3,2,1,81,18,29,22,36,0,34,16,1,5,83,3,48,6,100,3,5
106,2015-11-01,3,2,0,86,18,24,19,44,0,30,16,1,5,97,3,48,6,65,3,5
107,2015-12-01,3,2,0,86,19,27,19,31,0,33,14,1,5,98,3,48,6,52,2,5
108,2016-01-01,3,5,0,89,18,30,19,34,0,61,17,1,6,88,3,50,6,66,2,5
109,2016-02-01,3,4,1,86,17,34,22,27,0,78,16,1,6,86,3,56,6,76,3,6
110,2016-03-01,4,3,0,88,18,32,22,30,0,54,16,1,6,88,3,54,7,61,2,6
111,2016-04-01,3,3,0,91,18,33,23,28,0,54,16,2,6,78,4,52,7,59,3,6
112,2016-05-01,3,3,0,94,17,32,21,39,0,33,15,1,5,100,3,48,7,55,2,5
113,2016-06-01,3,3,0,94,17,30,21,34,0,31,15,1,5,88,3,50,7,53,2,4
114,2016-07-01,3,2,0,91,16,29,20,39,0,38,15,1,5,78,3,50,6,51,2,4
115,2016-08-01,3,4,0,87,16,30,20,30,0,32,15,1,5,75,3,48,6,50,3,4
116,2016-09-01,3,3,0,84,19,30,19,36,0,30,15,1,6,79,3,50,7,43,2,4
117,2016-10-01,3,3,0,84,16,28,18,35,0,32,15,1,6,76,3,46,7,44,2,5
118,2016-11-01,3,2,0,86,16,26,18,34,0,30,16,1,5,86,3,50,6,44,2,5
119,2016-12-01,3,2,0,90,16,23,18,29,0,32,15,1,5,88,3,49,6,40,2,5
120,2017-01-01,4,5,0,90,17,28,20,36,0,57,18,1,6,84,4,52,7,43,3,5
121,2017-02-01,4,3,1,87,16,30,20,36,0,77,17,1,7,87,3,52,6,65,3,6
122,2017-03-01,4,3,0,89,17,28,20,41,0,56,17,1,6,73,3,50,6,67,2,6
123,2017-04-01,4,4,0,93,18,30,21,48,0,58,17,1,6,79,3,51,7,54,3,6
124,2017-05-01,3,3,0,96,17,31,21,56,0,35,16,1,5,97,3,51,6,52,2,5
125,2017-06-01,3,3,0,96,17,31,20,34,0,35,17,1,5,80,3,51,7,41,2,5
126,2017-07-01,4,3,0,100,16,29,18,29,0,37,17,1,5,72,4,50,8,39,2,4
127,2017-08-01,4,3,1,97,18,30,22,32,0,35,18,1,6,72,4,47,7,36,3,6
128,2017-09-01,4,5,0,94,16,29,19,36,0,31,16,1,6,68,3,46,8,34,2,5
129,2017-10-01,4,2,0,88,16,27,22,49,0,36,17,1,6,86,4,47,6,36,2,5
130,2017-11-01,4,3,0,98,16,27,20,48,0,40,18,1,5,86,3,48,7,34,2,6
131,2017-12-01,3,5,0,97,17,23,18,38,0,56,16,1,4,80,3,48,7,32,2,5
