,date,anxiety,closing,entrepreneur,home,startup,bankruptcy,compensation,fired,layoff,tax,benefits,confidence,expect,happy,start business,better,worse,future,expectations,interest rate
22,2008-11-01,1,2,0,66,33,79,20,31,1,27,14,1,2,29,2,34,3,36,2,6
23,2008-12-01,2,3,0,72,29,95,24,23,1,31,13,1,3,29,2,35,6,35,4,6
24,2009-01-01,1,4,0,81,31,80,24,23,1,75,14,1,5,25,2,38,5,32,3,8
25,2009-02-01,2,2,0,76,20,75,33,31,1,100,15,1,3,25,2,32,3,26,4,5
26,2009-03-01,2,2,0,76,21,76,34,40,1,68,14,1,4,25,3,36,4,33,4,6
27,2009-04-01,1,2,0,77,38,73,23,29,1,69,13,1,3,23,3,37,6,30,3,6
28,2009-05-01,1,4,0,78,30,76,28,26,0,32,10,1,3,27,3,35,5,28,4,6
29,2009-06-01,2,2,0,83,29,100,31,29,1,38,14,1,3,26,4,34,4,25,4,8
30,2009-07-01,2,1,0,82,22,86,24,17,0,35,15,1,4,23,2,32,4,26,1,6
31,2009-08-01,2,2,0,79,22,66,21,21,1,35,13,1,3,23,2,36,4,35,5,5
32,2009-09-01,2,1,0,75,37,76,29,21,0,33,16,1,2,25,4,37,3,30,3,3
33,2009-10-01,1,1,0,74,26,67,20,28,0,40,15,1,4,27,2,35,4,29,2,5
34,2009-11-01,2,1,0,72,25,78,25,31,1,32,17,1,3,34,2,40,5,36,3,4
35,2009-12-01,2,1,0,74,32,91,27,34,0,36,13,1,4,34,2,40,4,34,4,7
36,2010-01-01,2,3,0,79,30,72,25,30,0,80,17,1,3,26,3,41,5,36,3,5
37,2010-02-01,2,3,0,77,32,72,19,21,1,81,16,1,4,27,3,37,3,37,6,7
38,2010-03-01,2,2,0,79,29,76,32,27,0,69,20,1,3,27,4,40,5,34,2,8
39,2010-04-01,2,1,0,76,23,76,30,27,0,69,20,1,3,31,2,37,3,34,5,5
40,2010-05-01,2,1,0,78,22,70,30,21,1,34,14,1,4,31,4,38,4,30,4,4
41,2010-06-01,1,1,0,82,19,95,31,34,1,31,19,1,4,29,3,42,5,28,3,5
42,2010-07-01,2,2,0,78,24,76,19,32,0,36,19,1,4,28,3,37,2,30,2,6
43,2010-08-01,2,1,0,78,29,83,22,49,0,36,15,1,3,25,2,39,3,26,4,4
44,2010-09-01,2,1,0,68,21,67,25,28,0,31,16,1,3,30,2,43,4,31,5,6
45,2010-10-01,2,2,0,66,22,63,21,52,0,34,16,1,3,31,2,43,5,37,7,7
46,2010-11-01,2,1,1,69,20,64,23,37,0,30,18,1,2,34,3,41,5,35,5,6
47,2010-12-01,1,1,0,70,36,45,20,31,0,40,14,1,4,43,2,38,7,32,2,6
48,2011-01-01,2,4,0,84,28,63,23,34,0,76,18,1,3,28,2,42,5,30,4,5
49,2011-02-01,2,3,0,83,26,60,27,24,0,85,17,1,4,34,3,42,4,31,5,6
50,2011-03-01,2,1,0,81,22,64,26,65,0,71,16,1,4,31,3,38,5,32,4,5
51,2011-04-01,2,2,0,80,25,49,29,35,0,73,16,1,5,35,3,40,7,38,4,6
52,2011-05-01,2,2,0,82,22,45,29,50,0,32,16,1,4,38,2,40,6,32,3,6
53,2011-06-01,1,1,0,80,25,59,23,26,0,30,15,1,4,35,2,36,3,26,2,4
54,2011-07-01,2,2,0,90,26,61,28,29,0,40,20,1,5,33,3,42,5,33,2,5
55,2011-08-01,2,2,0,84,30,57,20,28,0,45,16,1,4,31,2,40,6,27,4,4
56,2011-09-01,2,2,0,76,24,58,31,48,0,32,18,1,4,38,3,41,5,34,5,6
57,2011-10-01,2,2,0,74,27,56,26,40,0,40,16,1,4,44,3,43,5,33,4,6
58,2011-11-01,2,1,0,74,27,56,23,54,0,31,16,1,4,45,2,42,7,32,6,6
59,2011-12-01,2,2,0,77,28,43,16,33,0,32,17,1,3,55,2,43,7,35,3,5
60,2012-01-01,2,2,0,83,32,74,28,28,0,77,18,1,4,43,3,41,6,34,2,5
61,2012-02-01,2,2,0,79,22,43,30,27,0,82,17,1,5,51,3,42,5,38,4,6
62,2012-03-01,2,1,0,80,25,52,32,35,0,55,16,1,5,46,2,42,5,38,5,6
63,2012-04-01,2,2,0,80,25,52,23,81,0,64,17,1,4,48,2,37,6,47,7,6
64,2012-05-01,2,1,0,81,28,44,26,39,0,31,18,1,5,54,2,43,7,53,3,4
65,2012-06-01,2,1,0,85,25,62,26,41,0,29,16,1,5,44,2,42,7,48,3,4
66,2012-07-01,2,2,0,86,29,53,28,30,0,34,16,1,4,51,3,44,7,43,2,5
67,2012-08-01,3,4,0,79,23,49,24,35,0,39,17,1,4,49,2,41,8,46,3,5
68,2012-09-01,2,2,0,76,32,51,21,55,0,31,16,1,4,50,3,45,6,45,4,5
69,2012-10-01,2,2,0,74,25,50,23,28,0,41,19,1,5,54,2,39,7,45,3,7
70,2012-11-01,2,2,0,77,21,47,25,49,0,33,17,1,4,59,2,40,6,43,4,4
71,2012-12-01,2,2,0,81,26,43,22,42,0,33,15,1,3,61,2,44,7,39,4,5
72,2013-01-01,2,2,0,90,25,52,22,41,0,73,19,1,5,54,3,45,6,43,3,5
73,2013-02-01,2,2,0,84,27,40,26,32,0,88,18,1,4,56,2,39,7,47,3,6
74,2013-03-01,2,2,0,82,25,41,24,30,0,60,19,1,5,56,2,43,4,47,5,5
75,2013-04-01,2,2,0,85,31,43,27,41,0,60,18,1,5,56,2,41,6,50,3,7
76,2013-05-01,2,1,0,90,30,34,25,30,0,31,17,1,4,64,3,41,6,47,4,5
77,2013-06-01,2,1,0,91,30,44,23,57,0,28,17,1,4,50,3,42,6,39,2,6
78,2013-07-01,3,1,0,87,28,45,26,32,0,38,17,1,4,48,3,42,6,44,3,5
79,2013-08-01,2,1,0,83,29,34,24,33,0,38,18,1,5,46,2,38,6,39,4,5
80,2013-09-01,2,1,0,79,27,41,23,45,0,29,18,1,4,50,2,39,8,44,4,7
81,2013-10-01,2,2,0,76,25,36,35,39,0,38,20,1,5,56,3,41,7,56,4,6
82,2013-11-01,2,1,0,77,29,35,28,33,0,28,19,1,4,64,2,43,5,51,4,6
83,2013-12-01,2,4,0,81,22,29,19,46,0,29,15,1,4,66,2,42,7,44,2,6
84,2014-01-01,2,3,0,85,32,32,24,39,0,61,21,1,4,58,3,43,7,43,3,4
85,2014-02-01,2,4,0,83,22,26,23,32,0,82,21,1,4,62,2,42,6,44,4,6
86,2014-03-01,2,3,0,82,25,33,26,35,0,52,19,1,4,63,2,42,7,44,4,5
87,2014-04-01,2,2,0,82,32,39,32,40,0,55,20,2,5,70,3,41,8,54,3,7
88,2014-05-01,2,2,0,86,25,31,25,37,0,30,17,1,4,80,2,41,7,67,4,5
89,2014-06-01,2,1,0,93,22,42,21,29,0,28,16,1,5,63,2,41,8,47,2,4
90,2014-07-01,3,2,0,89,23,28,26,37,0,38,19,1,4,62,2,42,7,44,3,6
91,2014-08-01,3,2,0,86,36,34,26,36,0,35,18,1,4,58,2,40,8,39,3,5
92,2014-09-01,3,1,0,79,25,33,23,29,0,27,18,2,4,66,3,40,8,45,3,5
93,2014-10-01,3,2,0,79,25,29,24,31,0,35,19,1,5,73,2,42,8,46,4,7
94,2014-11-01,3,2,0,82,24,32,21,30,0,28,17,1,4,79,2,41,6,45,3,6
95,2014-12-01,2,2,0,82,26,32,15,32,0,31,17,1,4,81,2,39,8,44,3,4
96,2015-01-01,3,2,0,89,22,35,22,32,0,70,21,1,4,70,2,41,7,47,4,5
97,2015-02-01,3,6,0,85,29,30,28,31,0,78,19,1,5,70,2,50,9,43,3,7
98,2015-03-01,3,3,0,85,22,34,27,36,0,54,19,1,5,67,3,43,7,43,4,7
99,2015-04-01,3,2,0,87,20,33,26,30,0,57,20,1,5,77,2,45,8,56,6,8
100,2015-05-01,3,2,0,89,23,28,22,25,0,30,15,1,5,100,3,40,8,52,3,5
101,2015-06-01,3,2,0,92,23,37,22,25,0,29,18,1,4,67,1,41,7,48,2,5
102,2015-07-01,3,2,0,96,31,36,31,30,1,38,16,1,3,58,2,43,7,48,2,7
103,2015-08-01,3,2,0,89,26,30,19,26,0,34,16,1,4,65,2,39,9,55,4,6
104,2015-09-01,3,2,0,85,24,31,20,29,0,29,17,1,5,90,2,41,8,68,5,8
105,2015-10-01,3,2,0,84,20,31,24,32,0,34,17,1,5,91,2,38,6,100,3,6
106,2015-11-01,3,2,0,86,21,24,19,31,0,25,18,1,5,88,2,39,6,51,3,6
107,2015-12-01,3,2,0,87,18,27,17,25,0,28,14,1,4,88,2,41,7,51,3,8
108,2016-01-01,3,5,0,88,18,32,22,36,0,65,17,1,5,76,3,40,6,49,4,5
109,2016-02-01,3,2,0,87,15,35,22,29,0,81,17,1,6,78,2,44,9,57,4,7
110,2016-03-01,3,2,0,87,21,37,21,32,0,49,17,1,6,75,3,41,7,51,4,6
111,2016-04-01,4,2,0,93,15,31,21,28,0,51,17,1,6,66,3,42,7,54,3,7
112,2016-05-01,3,2,0,92,14,26,17,31,0,27,15,1,4,82,2,37,7,46,4,6
113,2016-06-01,3,2,0,90,17,37,19,30,0,25,16,1,4,69,2,37,7,40,1,5
114,2016-07-01,3,2,0,92,17,32,22,34,0,30,15,1,4,60,2,39,8,43,3,4
115,2016-08-01,3,2,0,86,17,30,18,32,0,34,15,1,4,61,2,37,7,39,3,4
116,2016-09-01,3,2,0,87,17,28,16,40,0,24,14,1,5,64,2,41,7,41,3,6
117,2016-10-01,4,2,0,87,16,33,21,41,0,35,16,1,4,68,2,40,8,37,3,6
118,2016-11-01,3,2,0,88,16,31,19,36,0,26,16,1,5,71,2,41,8,42,4,9
119,2016-12-01,3,2,0,94,17,24,14,33,0,28,15,1,4,72,2,39,9,38,4,6
120,2017-01-01,4,4,0,93,19,33,24,44,1,62,19,1,5,69,2,43,8,37,4,5
121,2017-02-01,4,2,0,93,17,28,23,29,0,92,16,1,7,70,2,42,9,49,4,7
122,2017-03-01,3,3,0,94,17,31,24,36,0,58,18,1,5,58,2,39,9,51,3,7
123,2017-04-01,3,2,0,94,20,34,22,45,1,58,17,2,5,64,2,43,8,44,4,7
124,2017-05-01,3,2,0,98,17,40,18,51,0,31,16,1,4,76,2,41,8,44,3,6
125,2017-06-01,3,2,0,95,15,35,18,30,0,29,18,1,4,64,2,42,8,39,2,6
126,2017-07-01,3,3,0,98,18,35,17,35,0,35,17,1,4,58,2,41,10,33,2,5
127,2017-08-01,4,2,0,93,18,32,18,31,0,36,16,1,5,55,2,37,10,33,3,4
128,2017-09-01,3,2,0,96,17,36,18,38,0,27,18,1,5,60,2,38,10,35,3,7
129,2017-10-01,4,2,0,91,16,35,17,51,0,38,18,1,5,70,2,39,9,36,4,7
130,2017-11-01,3,2,0,97,15,32,18,93,0,33,17,1,5,69,2,38,8,35,4,7
131,2017-12-01,3,2,0,100,16,33,15,40,0,50,16,1,3,65,2,39,9,33,2,6
