,date,microsoft excel,customer service,microsoft office,scheduling,sales,budgeting,supervisory skills,project management,microsoft word,customer contact,microsoft powerpoint,repair,accounting,retail setting,staff management,SQL,software development,cleaning,data entry,inspection,patient care,microsoft vista,administrative support,business development
21,2008-10-01,4,20,17,2,59,1,0,2,15,0,2,65,43,0,0,92,2,72,4,27,17,44,0,14
22,2008-11-01,3,21,17,2,73,1,0,1,13,1,2,66,40,0,0,75,2,74,5,28,14,42,0,26
23,2008-12-01,2,25,18,2,61,1,0,2,12,0,2,71,33,0,0,80,3,78,5,24,11,54,0,16
24,2009-01-01,2,26,18,2,67,1,0,3,14,0,2,74,44,0,0,82,3,77,5,28,9,47,0,19
25,2009-02-01,3,27,18,2,65,1,0,2,16,1,2,63,49,0,0,84,4,73,3,28,14,43,0,22
26,2009-03-01,3,19,19,2,63,1,0,2,14,0,2,72,46,0,0,88,3,83,3,29,15,45,0,26
27,2009-04-01,3,22,16,2,64,1,0,2,15,1,2,75,43,0,0,88,2,85,4,25,16,40,0,24
28,2009-05-01,2,24,17,2,63,1,0,2,13,0,2,76,38,0,0,83,3,81,3,28,11,40,0,20
29,2009-06-01,3,29,15,2,64,0,0,2,12,1,1,85,37,0,0,89,3,89,6,27,16,49,0,20
30,2009-07-01,2,30,18,2,68,1,0,2,11,0,1,84,36,0,0,87,2,82,5,30,16,39,0,26
31,2009-08-01,3,28,22,2,75,1,0,2,14,1,1,83,39,0,0,87,3,88,4,30,16,49,0,19
32,2009-09-01,2,27,24,2,71,1,0,2,18,1,2,73,52,0,0,89,3,79,4,30,17,48,0,24
33,2009-10-01,3,28,21,2,66,1,0,2,17,1,2,72,41,0,0,88,3,79,5,26,16,33,0,24
34,2009-11-01,3,29,21,2,100,1,0,2,16,1,3,70,37,0,0,81,3,76,4,20,18,28,0,19
35,2009-12-01,2,31,20,2,68,1,0,1,14,1,2,74,33,0,0,74,3,71,3,20,10,31,0,18
36,2010-01-01,3,33,24,1,71,1,0,3,17,1,2,73,41,0,0,73,3,77,4,29,16,32,0,21
37,2010-02-01,4,29,22,2,69,1,0,2,20,1,2,75,42,0,0,85,3,73,5,29,16,29,0,21
38,2010-03-01,3,32,19,2,69,1,0,3,16,1,2,75,44,0,0,91,2,84,3,29,24,21,0,20
39,2010-04-01,3,30,17,2,70,1,0,2,16,1,2,77,48,0,0,86,3,80,5,31,20,23,0,21
40,2010-05-01,2,32,17,2,69,1,0,2,17,1,2,86,35,0,0,81,3,81,5,31,18,16,0,16
41,2010-06-01,2,39,19,2,68,1,0,2,14,1,2,92,36,0,0,94,2,84,4,35,18,28,0,29
42,2010-07-01,2,35,18,2,68,1,0,2,12,1,1,87,32,0,0,81,3,84,4,36,19,20,0,23
43,2010-08-01,3,32,24,2,73,1,0,2,15,1,1,85,38,0,0,82,2,86,4,35,14,18,0,18
44,2010-09-01,3,29,22,2,64,1,0,2,18,1,2,74,43,0,0,79,2,69,5,31,15,17,0,24
45,2010-10-01,3,29,20,2,62,1,0,2,16,1,2,69,41,0,0,84,2,70,4,29,25,19,0,14
46,2010-11-01,3,31,21,2,83,1,0,2,17,1,2,70,39,0,0,77,2,73,3,24,21,13,0,17
47,2010-12-01,3,32,17,1,64,0,0,2,15,1,2,73,30,0,0,74,3,71,3,23,10,21,0,15
48,2011-01-01,2,36,22,2,70,1,0,2,15,1,1,73,42,0,0,76,3,75,4,25,16,22,0,20
49,2011-02-01,3,35,18,2,74,1,0,2,16,1,2,72,40,0,0,84,2,73,3,29,19,14,0,20
50,2011-03-01,3,32,18,2,69,1,0,2,15,1,2,73,40,0,0,86,2,76,3,30,18,13,0,20
51,2011-04-01,2,33,17,2,67,1,0,2,12,1,2,85,38,0,0,81,3,78,4,29,17,15,0,20
52,2011-05-01,2,34,15,2,68,0,0,2,12,1,2,83,31,0,0,81,2,87,4,33,17,14,0,18
53,2011-06-01,3,40,14,2,73,1,0,2,11,1,1,90,35,0,0,87,2,85,3,33,14,9,0,20
54,2011-07-01,3,40,14,2,75,1,0,2,10,1,1,88,31,0,0,77,3,81,3,32,13,9,0,16
55,2011-08-01,2,46,17,2,71,0,0,2,13,1,1,83,36,0,0,72,2,78,3,27,16,11,0,18
56,2011-09-01,3,43,16,2,70,0,0,2,17,1,2,79,42,0,0,76,3,74,4,25,21,8,0,20
57,2011-10-01,3,39,16,2,68,1,0,2,15,1,2,73,37,0,0,66,2,77,4,26,17,12,0,17
58,2011-11-01,2,37,17,2,87,1,0,2,13,1,2,72,36,0,0,64,2,76,3,26,17,11,0,14
59,2011-12-01,2,44,15,1,67,0,0,1,12,1,2,70,29,0,0,62,2,72,3,24,10,9,0,11
60,2012-01-01,3,44,16,2,69,1,0,2,13,1,2,69,36,0,0,68,1,75,4,26,15,9,0,20
61,2012-02-01,3,40,15,2,72,1,0,2,14,1,2,69,40,0,0,74,2,75,3,27,15,8,0,17
62,2012-03-01,3,39,14,2,69,1,0,2,13,1,2,74,35,0,0,75,2,80,3,29,17,5,0,17
63,2012-04-01,2,40,13,2,68,1,0,2,12,1,2,74,37,0,0,71,2,78,3,27,22,5,0,20
64,2012-05-01,2,43,13,2,68,1,0,2,11,1,2,77,32,0,0,70,2,84,3,29,17,5,0,14
65,2012-06-01,2,47,12,2,69,1,0,2,9,1,1,86,29,0,0,76,1,83,3,31,15,7,0,18
66,2012-07-01,2,47,11,2,69,1,0,2,9,1,1,85,28,0,0,63,2,88,3,32,20,7,0,15
67,2012-08-01,2,46,18,2,65,0,0,2,11,1,1,81,33,0,0,70,3,81,4,31,18,8,0,15
68,2012-09-01,2,49,15,2,58,1,0,2,14,1,2,74,38,0,0,66,2,76,4,27,22,6,0,17
69,2012-10-01,3,48,14,2,60,1,0,2,14,1,2,69,35,0,0,68,2,79,3,25,22,5,0,17
70,2012-11-01,3,44,13,2,75,1,0,2,13,1,3,70,32,0,0,67,2,75,4,24,22,5,0,15
71,2012-12-01,2,43,13,2,63,1,0,1,12,1,2,67,28,0,0,58,2,80,2,25,16,6,0,14
72,2013-01-01,3,43,16,2,64,1,0,2,13,1,2,70,37,0,0,69,2,78,3,26,14,7,0,19
73,2013-02-01,2,43,16,2,66,1,0,2,14,1,2,68,39,0,0,69,3,75,2,30,18,6,0,20
74,2013-03-01,2,44,13,2,65,1,0,2,13,1,2,71,33,0,0,67,2,79,3,30,19,5,0,15
75,2013-04-01,2,44,13,2,65,1,0,2,12,1,2,77,34,0,0,67,3,83,3,30,23,4,0,17
76,2013-05-01,2,47,11,2,65,0,0,2,10,1,2,79,27,0,0,65,2,86,3,31,18,4,0,16
77,2013-06-01,2,53,12,2,63,1,0,2,8,1,1,86,28,0,0,67,2,90,3,29,17,4,0,14
78,2013-07-01,2,52,11,2,67,1,0,2,8,1,1,92,29,0,0,61,2,88,3,30,18,5,0,14
79,2013-08-01,2,51,17,2,66,0,0,2,12,1,1,83,33,0,0,67,2,87,4,31,20,7,0,17
80,2013-09-01,2,49,16,2,64,1,0,2,14,1,1,77,40,0,0,60,2,76,3,30,22,6,0,17
81,2013-10-01,2,49,14,2,60,1,0,2,13,1,1,73,39,0,0,67,2,79,4,28,26,4,0,16
82,2013-11-01,2,47,13,2,72,1,0,2,12,1,1,71,34,0,0,58,2,79,3,25,22,4,0,14
83,2013-12-01,2,56,13,2,59,1,0,2,10,1,1,71,26,0,0,52,2,74,3,25,15,5,0,14
84,2014-01-01,2,50,16,2,62,1,0,2,10,1,1,73,37,0,0,59,2,84,3,26,15,5,0,18
85,2014-02-01,2,55,14,2,67,1,0,2,12,1,1,72,38,0,0,60,2,73,3,29,25,5,0,18
86,2014-03-01,2,53,13,2,64,1,0,2,11,1,1,75,36,0,0,56,3,80,3,32,20,4,0,17
87,2014-04-01,2,53,12,2,61,1,0,2,11,1,2,81,35,0,0,65,2,82,3,33,22,5,0,17
88,2014-05-01,2,55,12,2,66,1,0,2,9,1,1,85,30,0,0,62,2,90,3,33,20,5,0,11
89,2014-06-01,2,54,12,2,64,1,0,2,9,1,1,91,29,0,0,69,2,92,4,35,19,3,0,21
90,2014-07-01,2,58,12,2,65,1,0,2,8,1,1,92,30,0,0,71,2,93,3,36,16,4,0,18
91,2014-08-01,2,57,17,2,62,1,0,2,11,1,1,86,31,0,0,67,3,84,3,33,18,4,0,16
92,2014-09-01,2,55,15,2,58,1,0,2,15,1,1,78,41,0,0,65,3,78,2,32,25,4,0,20
93,2014-10-01,2,55,13,2,59,1,0,2,12,1,1,74,37,0,0,67,3,76,3,29,29,4,0,20
94,2014-11-01,2,52,13,2,73,1,0,2,11,1,1,72,33,0,0,56,2,82,3,26,23,3,0,16
95,2014-12-01,2,62,12,2,62,1,0,2,9,1,1,73,28,0,0,48,2,78,3,28,19,5,0,14
96,2015-01-01,2,57,14,2,61,1,0,2,12,1,1,75,36,0,0,54,2,84,3,30,21,5,0,18
97,2015-02-01,2,57,13,2,64,1,0,2,11,1,1,70,41,0,0,60,2,78,2,29,20,3,0,19
98,2015-03-01,2,56,11,2,61,1,0,2,11,1,1,75,37,0,0,59,2,84,3,34,21,2,0,20
99,2015-04-01,2,59,10,2,60,1,0,2,11,1,2,79,36,0,0,62,2,85,3,33,23,2,0,20
100,2015-05-01,2,61,10,2,60,1,0,2,9,1,1,88,31,0,0,57,2,90,3,36,18,1,0,15
101,2015-06-01,2,67,9,2,66,1,0,2,8,1,1,96,30,0,0,66,2,97,3,37,22,3,0,18
102,2015-07-01,2,69,9,2,70,1,0,2,7,1,0,95,27,0,0,62,2,91,3,38,20,2,0,15
103,2015-08-01,2,69,13,2,64,1,0,2,10,2,1,89,33,0,0,60,2,87,3,36,17,2,0,16
104,2015-09-01,2,68,11,2,60,1,0,2,12,1,1,80,37,0,0,61,2,82,3,33,27,2,0,20
105,2015-10-01,2,64,9,2,57,1,0,2,11,1,1,77,36,0,0,60,2,77,3,32,22,2,0,15
106,2015-11-01,2,61,9,2,70,1,0,2,9,1,1,76,31,0,0,50,2,79,3,31,20,2,0,15
107,2015-12-01,2,74,9,2,59,1,0,1,8,1,1,74,26,0,0,49,1,77,2,28,16,2,0,13
108,2016-01-01,2,67,9,1,58,0,0,2,8,1,1,77,32,0,0,41,2,83,2,32,25,1,0,14
109,2016-02-01,2,72,8,2,67,1,0,2,9,1,1,79,37,0,0,48,3,83,3,35,26,1,0,20
110,2016-03-01,2,69,7,2,63,1,0,2,8,1,1,86,34,0,0,48,2,88,3,39,22,2,0,16
111,2016-04-01,1,63,6,2,64,1,0,2,8,1,1,87,36,0,0,48,2,91,3,38,24,2,0,17
112,2016-05-01,1,67,7,2,64,1,0,2,7,1,1,88,28,0,0,46,2,89,3,36,21,1,0,14
113,2016-06-01,1,74,6,2,65,1,0,1,5,1,0,98,27,0,0,50,2,95,3,36,23,1,0,13
114,2016-07-01,1,78,6,2,65,0,0,1,4,1,0,100,23,0,0,45,1,96,2,40,18,2,0,12
115,2016-08-01,1,74,9,2,61,0,0,2,7,1,0,93,29,0,0,51,2,97,2,40,17,0,0,12
116,2016-09-01,2,72,7,2,57,0,0,2,10,1,1,86,35,0,0,44,2,87,3,38,23,1,0,14
117,2016-10-01,1,70,6,2,55,1,0,1,8,1,1,83,32,0,0,46,2,83,2,34,23,1,0,14
118,2016-11-01,1,71,6,2,68,1,0,2,7,1,1,80,31,0,0,43,2,90,3,31,19,1,0,14
119,2016-12-01,1,83,6,2,56,0,0,1,6,1,1,81,26,0,0,40,2,88,2,30,18,1,0,15
120,2017-01-01,1,77,7,2,56,1,0,2,7,1,1,82,35,0,0,46,2,93,3,33,22,1,0,16
121,2017-02-01,2,80,6,2,64,1,0,2,8,1,1,80,36,0,0,49,2,91,3,39,25,1,0,16
122,2017-03-01,1,74,6,2,62,1,0,2,8,1,1,82,34,0,0,49,2,89,3,40,24,1,0,15
123,2017-04-01,1,83,5,2,62,1,0,1,7,1,1,90,33,0,0,48,1,88,3,39,22,1,0,14
124,2017-05-01,1,85,5,2,60,1,0,2,6,1,1,90,28,0,0,48,2,93,3,42,19,1,0,13
125,2017-06-01,1,95,5,2,64,0,0,1,5,2,0,99,23,0,0,48,2,100,2,43,18,1,0,13
126,2017-07-01,1,100,5,2,63,0,0,1,4,1,0,98,22,0,0,42,2,98,2,44,19,1,0,13
127,2017-08-01,1,98,7,2,61,0,0,1,6,2,0,89,28,0,0,50,2,92,3,44,18,1,0,14
128,2017-09-01,1,92,6,2,56,0,0,2,9,1,1,82,32,0,0,46,2,85,3,40,24,1,0,17
129,2017-10-01,1,89,5,2,58,0,0,2,8,1,1,81,32,0,0,49,2,86,3,37,26,1,0,15
130,2017-11-01,1,92,5,2,66,0,0,2,7,2,1,77,28,0,0,44,2,87,2,35,24,0,0,13
131,2017-12-01,1,99,5,2,53,0,0,1,6,1,1,74,24,0,0,34,2,80,2,32,17,1,0,12
